74<br>Nick of Pendle	6688055	nw2
Pendle Hill	929790	nw2
Barley yHill	4497003	nw2
Bleara Moor	1740481	nw2
Combe Hill	6340171	nw2
Ridehalgh Lane	725580	nw2
Another 100 Greatest Climbs No 174 Crown Point	8164589	nw2
Rivington Road	5296980	nw2
long heys lane	780490	nw2
Shaley Brow	705525	nw3
Winter Hill	16245227	nw3
72<br>The Rake	6688059	nw3
Blackstone Edge	873245	nw3
OFFICIAL Another 100 Climbs No 172 Knott Hill Lane	10875190	nw3
173<br>Chew Road	16291064	nw3
Swineshaw Reservoir	3466096	nw3
Gorsey Brow	2330286	nw3
Cowlishaw Rd	1253691	nw3
71<br>Swiss Hill	13952333	nw4
Brickworks	612791	nw4
The Corkscrew	8063840	nw4
Blaze Hill	1240158	nw4
70<br>Cat and Fiddle	6681311	nw4
Coalpit Lane	695339	nw4
Charity Lane	16245194	nw4
Crocker Hill	3804859	nw4
Chapel Lane	760274	nw4
Frodsham Hill	754198	nw4
170<br>Quiraing	16400033	s1
Glen Loth	3794103	s1
Beinn nam Ban	4370058	s1
An Teallach	7172850	s1
Struie Hill	2214839	s1
Bealach-na-Ba	6671117	s1
Quinag	6886774	s1
Ben Grasco	1690025	s1
Glen Brittle	1056238	s1
Bealach Udal	1545974	s1
Bealach Rataglan	1383334	s1
Glengarry	3628879	s1
Bealach Feith nan Laogh	4905562	s1
Beinn nam Beathrach	1236591	s1
McBain's Hill	15452409	s1
Glen Kyllachy	15452452	s1
Carn an t-Suidhe	723617	s1
Cairn Gorm	15753173	s1
Glen Coe	2643400	s1
Glen Etive	15531837	s1
Califer hill	3982711	s2
The Lecht	6674394	s2
Crathie Hill	1097513	s2
Cairn o'Mount	6674408	s2
The Cairnwell	7011208	s2
Craigowl Hill	1129128	s2
Pitrodie Hill	1538696	s2
Abernethy Glen	8559590	s2
Common of Dunning	773012	s2
Cleish Hill	821132	s2
Purin Hill	1662889	s2
Trinafore Hill	4128959	s2
Ben Lawers	1148131	s2
Kenmore Hill	615848	s2
Glen Quaich	4192848	s2
Lairig Nan Lunn Road	4009768	s3
Duke's Pass	615850	s3
161<br>Crow Road	8194858	s3
Tak Ma Doon Road	1170757	s3
Rest and be Thankful	6697031	s3
164<br>Glen Finart	8194873	s3
Bealach Maim	1487192	s3
The Serpentine	1162620	s3
Lyle Hill	2448807	s3
Fairlie Moor	1207401	s3
Dervaig Hill	4300887	s3
Ben More Road	15531768	s3
White Castle	1299722	s4
Stow Hill	664970	s4
Castle Gate	7258028	s4
Wauchope forest	15531804	s4
Tinnis Hill	15466030	s4
Talla Wall	4339510	s4
Devil's Beef Tub	1367820	s4
